timestamp,n_hours,n_resolved,rmse,rmsle,r2,mae,naive_rmse,skill_vs_naive,horizon
2026-07-03T11:16:37.725337,168,168,46.44219635612589,0.2719224154900742,0.946138265800336,29.691428571428577,,,
2026-07-03T11:53:15.653616,168,168,46.48718784066566,0.2719167517348365,0.9460744862573196,29.80607142857143,,,
2026-07-06T02:27:39.432208,168,168,41.38045141040116,0.2664067051261322,0.9466897979907214,25.49982142857143,90.245440444147,0.5414676774056906,
2026-07-10T06:01:49.107990,168,168,46.2802268728748,0.2579497034416522,0.9295205511919766,27.085535714285715,127.77200211239364,0.6377905479467656,1.0
2026-07-10T06:01:49.111385,168,67,89.9957879943079,0.4282432728680757,0.6750894995708492,59.11283582089551,155.01713915833895,0.4194462078003927,2.0
2026-07-10T06:01:49.114746,168,66,107.4273593051264,0.5034911345641088,0.5436206445574785,73.06333333333333,156.06578838115132,0.3116533711875265,3.0
2026-07-10T06:01:49.118044,168,65,120.73877371607487,0.5576230332452567,0.4251302667617698,81.65923076923077,156.59069625570402,0.2289530821236334,4.0
2026-07-10T06:01:49.121274,168,64,127.0128067361713,0.5897593493343439,0.3698266464863055,86.824375,157.69041069449975,0.1945432434554403,5.0
2026-07-10T06:01:49.124499,168,63,129.8731282004535,0.612085350128664,0.3500917848070886,89.8584126984127,158.91497177411654,0.1827508336655871,6.0
2026-07-10T06:01:49.127645,168,62,131.05926947193066,0.6241825591391454,0.3426605806131102,91.05274193548388,159.94454684207315,0.1805955747816984,7.0
2026-07-10T06:01:49.130832,168,61,130.292313135868,0.6370111373155766,0.3386194424821581,91.1806557377049,160.88255567746145,0.1901402076364386,8.0
2026-07-10T06:01:49.133947,168,60,129.72716489489264,0.6470584800283988,0.267078000662722,90.47316666666669,162.20105836070655,0.2002076545863079,9.0
2026-07-10T06:01:49.137102,168,59,130.1165268688293,0.6572643292939773,0.1793872168276272,89.53813559322032,163.56567125640797,0.2044997836688071,10.0
2026-07-10T06:01:49.140240,168,58,131.82339146726213,0.676317853962326,0.130868068008996,90.18103448275862,164.92872023580577,0.2007250691159885,11.0
2026-07-10T06:01:49.143363,168,57,133.01638990160626,0.6895157414578187,0.12366511221137011,90.72771929824562,166.36158041626226,0.20043804844376445,12.0
